kabupaten,forecast_week,predicted_cases
Batang,2024-01-02,0
Batang,2024-01-09,0
Batang,2024-01-16,1
Batang,2024-01-23,1
BatangHari,2024-01-02,0
BatangHari,2024-01-09,0
BatangHari,2024-01-16,0
BatangHari,2024-01-23,1
BatuBara,2024-01-02,0
BatuBara,2024-01-09,0
BatuBara,2024-01-16,0
BatuBara,2024-01-23,0
Bau-Bau,2024-01-02,0
Bau-Bau,2024-01-09,0
Bau-Bau,2024-01-16,0
Bau-Bau,2024-01-23,0
Bekasi,2024-01-02,0
Bekasi,2024-01-09,7
Bekasi,2024-01-16,3
Bekasi,2024-01-23,4
Belitung,2024-01-02,18
Belitung,2024-01-09,0
Belitung,2024-01-16,0
Belitung,2024-01-23,0
BelitungTimur,2024-01-02,0
BelitungTimur,2024-01-09,0
BelitungTimur,2024-01-16,0
BelitungTimur,2024-01-23,0
Belu,2024-01-02,0
Belu,2024-01-09,3
Belu,2024-01-16,2
Belu,2024-01-23,2
BenerMeriah,2024-01-02,0
BenerMeriah,2024-01-09,0
BenerMeriah,2024-01-16,0
BenerMeriah,2024-01-23,0
Bengkalis,2024-01-02,0
Bengkalis,2024-01-09,0
Bengkalis,2024-01-16,0
Bengkalis,2024-01-23,0
Bengkayang,2024-01-02,0
Bengkayang,2024-01-09,0
Bengkayang,2024-01-16,0
Bengkayang,2024-01-23,0
Bengkulu,2024-01-02,0
Bengkulu,2024-01-09,0
Bengkulu,2024-01-16,0
Bengkulu,2024-01-23,0
BengkuluSelatan,2024-01-02,0
BengkuluSelatan,2024-01-09,1
BengkuluSelatan,2024-01-16,1
BengkuluSelatan,2024-01-23,1
BengkuluTengah,2024-01-02,0
BengkuluTengah,2024-01-09,0
BengkuluTengah,2024-01-16,0
BengkuluTengah,2024-01-23,0
BengkuluUtara,2024-01-02,0
BengkuluUtara,2024-01-09,1
BengkuluUtara,2024-01-16,4
BengkuluUtara,2024-01-23,6
Berau,2024-01-02,0
Berau,2024-01-09,0
Berau,2024-01-16,0
Berau,2024-01-23,0
BiakNumfor,2024-01-02,0
BiakNumfor,2024-01-09,0
BiakNumfor,2024-01-16,0
BiakNumfor,2024-01-23,1
Bima,2024-01-02,0
Bima,2024-01-09,0
Bima,2024-01-16,0
Bima,2024-01-23,0
Bintan,2024-01-02,0
Bintan,2024-01-09,0
Bintan,2024-01-16,0
Bintan,2024-01-23,0
Bitung,2024-01-02,0
Bitung,2024-01-09,0
Bitung,2024-01-16,0
Bitung,2024-01-23,0
Blitar,2024-01-02,0
Blitar,2024-01-09,2
Blitar,2024-01-16,4
Blitar,2024-01-23,4
Blora,2024-01-02,9
Blora,2024-01-09,1
Blora,2024-01-16,2
Blora,2024-01-23,0
Boalemo,2024-01-02,0
Boalemo,2024-01-09,0
Boalemo,2024-01-16,0
Boalemo,2024-01-23,2
Bogor,2024-01-02,10
Bogor,2024-01-09,20
Bogor,2024-01-16,6
Bogor,2024-01-23,14
BolaangMongondow,2024-01-02,0
BolaangMongondow,2024-01-09,0
BolaangMongondow,2024-01-16,0
BolaangMongondow,2024-01-23,0
BolaangMongondowSelatan,2024-01-02,0
BolaangMongondowSelatan,2024-01-09,0
BolaangMongondowSelatan,2024-01-16,0
BolaangMongondowSelatan,2024-01-23,0
BolaangMongondowTimur,2024-01-02,0
BolaangMongondowTimur,2024-01-09,0
BolaangMongondowTimur,2024-01-16,0
BolaangMongondowTimur,2024-01-23,0
BolaangMongondowUtara,2024-01-02,0
BolaangMongondowUtara,2024-01-09,0
BolaangMongondowUtara,2024-01-16,0
BolaangMongondowUtara,2024-01-23,0
Bombana,2024-01-02,9
Bombana,2024-01-09,0
Bombana,2024-01-16,1
Bombana,2024-01-23,1
Bondowoso,2024-01-02,0
Bondowoso,2024-01-09,2
Bondowoso,2024-01-16,1
Bondowoso,2024-01-23,4
Bone,2024-01-02,0
Bone,2024-01-09,0
Bone,2024-01-16,0
Bone,2024-01-23,0
BoneBolango,2024-01-02,0
BoneBolango,2024-01-09,0
BoneBolango,2024-01-16,1
BoneBolango,2024-01-23,1
Bontang,2024-01-02,0
Bontang,2024-01-09,0
Bontang,2024-01-16,0
Bontang,2024-01-23,0
BovenDigoel,2024-01-02,0
BovenDigoel,2024-01-09,0
BovenDigoel,2024-01-16,0
BovenDigoel,2024-01-23,0
Boyolali,2024-01-02,9
Boyolali,2024-01-09,0
Boyolali,2024-01-16,0
Boyolali,2024-01-23,0
Brebes,2024-01-02,0
Brebes,2024-01-09,0
Brebes,2024-01-16,0
Brebes,2024-01-23,0
Bukittinggi,2024-01-02,0
Bukittinggi,2024-01-09,0
Bukittinggi,2024-01-16,0
Bukittinggi,2024-01-23,0
Buleleng,2024-01-02,29
Buleleng,2024-01-09,2
Buleleng,2024-01-16,4
Buleleng,2024-01-23,5
Bulukumba,2024-01-02,0
Bulukumba,2024-01-09,2
Bulukumba,2024-01-16,0
Bulukumba,2024-01-23,1
Bulungan,2024-01-02,0
Bulungan,2024-01-09,0
Bulungan,2024-01-16,0
Bulungan,2024-01-23,0
Bungo,2024-01-02,0
Bungo,2024-01-09,0
Bungo,2024-01-16,0
Bungo,2024-01-23,0
Buol,2024-01-02,0
Buol,2024-01-09,1
Buol,2024-01-16,2
Buol,2024-01-23,1
Buru,2024-01-02,0
Buru,2024-01-09,0
Buru,2024-01-16,0
Buru,2024-01-23,0
BuruSelatan,2024-01-02,0
BuruSelatan,2024-01-09,0
BuruSelatan,2024-01-16,0
BuruSelatan,2024-01-23,0
Buton,2024-01-02,0
Buton,2024-01-09,0
Buton,2024-01-16,0
Buton,2024-01-23,0
ButonUtara,2024-01-02,0
ButonUtara,2024-01-09,0
ButonUtara,2024-01-16,0
ButonUtara,2024-01-23,0
Ciamis,2024-01-02,0
Ciamis,2024-01-09,0
Ciamis,2024-01-16,1
Ciamis,2024-01-23,1
Cianjur,2024-01-02,0
Cianjur,2024-01-09,1
Cianjur,2024-01-16,1
Cianjur,2024-01-23,1
Cilacap,2024-01-02,0
Cilacap,2024-01-09,0
Cilacap,2024-01-16,2
Cilacap,2024-01-23,3
Cilegon,2024-01-02,0
Cilegon,2024-01-09,0
Cilegon,2024-01-16,0
Cilegon,2024-01-23,0
Cimahi,2024-01-02,0
Cimahi,2024-01-09,0
Cimahi,2024-01-16,0
Cimahi,2024-01-23,0
Cirebon,2024-01-02,0
Cirebon,2024-01-09,2
Cirebon,2024-01-16,1
Cirebon,2024-01-23,1
Dairi,2024-01-02,0
Dairi,2024-01-09,3
Dairi,2024-01-16,1
Dairi,2024-01-23,1
Danau,2024-01-02,0
Danau,2024-01-09,0
Danau,2024-01-16,0
Danau,2024-01-23,0
DanauLimboto,2024-01-02,0
DanauLimboto,2024-01-09,0
DanauLimboto,2024-01-16,0
DanauLimboto,2024-01-23,0
Deiyai,2024-01-02,0
Deiyai,2024-01-09,0
Deiyai,2024-01-16,0
Deiyai,2024-01-23,0
DeliSerdang,2024-01-02,0
DeliSerdang,2024-01-09,2
DeliSerdang,2024-01-16,2
DeliSerdang,2024-01-23,0
Demak,2024-01-02,0
Demak,2024-01-09,0
Demak,2024-01-16,1
Demak,2024-01-23,1
Denpasar,2024-01-02,0
Denpasar,2024-01-09,0
Denpasar,2024-01-16,0
Denpasar,2024-01-23,0
Depok,2024-01-02,0
Depok,2024-01-09,0
Depok,2024-01-16,0
Depok,2024-01-23,0
Dharmasraya,2024-01-02,0
Dharmasraya,2024-01-09,0
Dharmasraya,2024-01-16,0
Dharmasraya,2024-01-23,0
Dogiyai,2024-01-02,0
Dogiyai,2024-01-09,0
Dogiyai,2024-01-16,0
Dogiyai,2024-01-23,0
Dompu,2024-01-02,0
Dompu,2024-01-09,1
Dompu,2024-01-16,1
Dompu,2024-01-23,1
Donggala,2024-01-02,0
Donggala,2024-01-09,0
Donggala,2024-01-16,0
Donggala,2024-01-23,0
Dumai,2024-01-02,0
Dumai,2024-01-09,0
Dumai,2024-01-16,0
Dumai,2024-01-23,0
EmpatLawang,2024-01-02,0
EmpatLawang,2024-01-09,0
EmpatLawang,2024-01-16,0
EmpatLawang,2024-01-23,0
Ende,2024-01-02,0
Ende,2024-01-09,0
Ende,2024-01-16,0
